,tag,title,link,vote,date
0,sql,Is this parameterized query open to SQL injection?,https://stackoverflow.com/questions/69292758/is-this-parameterized-query-open-to-sql-injection,0,2021-09-23 00:53:27Z
1,sql,How do I get a substring given a pattern?,https://stackoverflow.com/questions/69292677/how-do-i-get-a-substring-given-a-pattern,-1,2021-09-23 00:38:05Z
2,sql,SQL creating a View with a Temp Table,https://stackoverflow.com/questions/69292641/sql-creating-a-view-with-a-temp-table,0,2021-09-23 00:32:04Z
3,sql,Date in where clause returning 0 rows,https://stackoverflow.com/questions/69292581/date-in-where-clause-returning-0-rows,0,2021-09-23 00:22:00Z
4,sql,how do I make my reCaptcha v3 work on my file,https://stackoverflow.com/questions/69292515/how-do-i-make-my-recaptcha-v3-work-on-my-file,0,2021-09-23 00:08:21Z
5,sql,How to filter many to many joins in EF Core,https://stackoverflow.com/questions/69292498/how-to-filter-many-to-many-joins-in-ef-core,0,2021-09-23 00:06:40Z
6,sql,I am running into an error message I have not seen with SQLite3. Can you help me figure out what is wrong with my python/SQLite3 code? [duplicate],https://stackoverflow.com/questions/69292417/i-am-running-into-an-error-message-i-have-not-seen-with-sqlite3-can-you-help-me,0,2021-09-22 23:50:10Z
7,sql,How to reference the actual value in a ony to many relation,https://stackoverflow.com/questions/69292289/how-to-reference-the-actual-value-in-a-ony-to-many-relation,0,2021-09-22 23:24:13Z
8,sql,"WHERE clause should return type BOOL, but returns FLOAT64 [closed]",https://stackoverflow.com/questions/69292205/where-clause-should-return-type-bool-but-returns-float64,-2,2021-09-22 23:08:15Z
9,sql,INSERT unless date is the same,https://stackoverflow.com/questions/69292189/insert-unless-date-is-the-same,0,2021-09-22 23:05:07Z
10,sql,breaking sqlite loop and getting error of database being locked,https://stackoverflow.com/questions/69292060/breaking-sqlite-loop-and-getting-error-of-database-being-locked,-1,2021-09-22 22:41:25Z
11,sql,Is it possible you instatiate a variable in SQL server using a select statement with another variable,https://stackoverflow.com/questions/69292012/is-it-possible-you-instatiate-a-variable-in-sql-server-using-a-select-statement,-1,2021-09-22 22:34:00Z
12,sql,Extract Version Number from String and Filter By Min Version,https://stackoverflow.com/questions/69292007/extract-version-number-from-string-and-filter-by-min-version,0,2021-09-22 22:33:19Z
13,sql,How to return a single row of data,https://stackoverflow.com/questions/69291965/how-to-return-a-single-row-of-data,0,2021-09-22 22:27:04Z
14,sql,Difficulty making 3 JOINS when 2 and 2 joins work just fine,https://stackoverflow.com/questions/69291931/difficulty-making-3-joins-when-2-and-2-joins-work-just-fine,0,2021-09-22 22:22:30Z
15,sql,How do I list the titles of films with the fewest rows in the inventory table in sql,https://stackoverflow.com/questions/69291902/how-do-i-list-the-titles-of-films-with-the-fewest-rows-in-the-inventory-table-in,0,2021-09-22 22:18:16Z
16,sql,How to provide the unique number to all the inserts,https://stackoverflow.com/questions/69291775/how-to-provide-the-unique-number-to-all-the-inserts,-1,2021-09-22 22:01:50Z
